A.  .closed_3_body.Last_Run.TIME (sec)
B.  .closed_3_body.Last_Run.joint1_MEA_1.Q (deg/sec**2)
C.  .closed_3_body.Last_Run.joint2_MEA_1.Q (deg/sec**2)
D.  .closed_3_body.Last_Run.joint3_MEA_1.Q (deg/sec**2)

       A               B               C               D         
 4.350000E-01    0.000000E+00    0.000000E+00    2.802312E+03   
 4.400000E-01    0.000000E+00    0.000000E+00    2.806541E+03   
 4.450000E-01    0.000000E+00    0.000000E+00    2.808766E+03   
 4.500000E-01    0.000000E+00    0.000000E+00    2.809001E+03   
 4.550000E-01    0.000000E+00    0.000000E+00    2.807245E+03   
 4.600000E-01    0.000000E+00    0.000000E+00    2.803490E+03   
 4.650000E-01    0.000000E+00    0.000000E+00    2.797715E+03   
 4.700000E-01    0.000000E+00    0.000000E+00    2.789886E+03   
 4.750000E-01    0.000000E+00    0.000000E+00    2.779963E+03   
 4.800000E-01    0.000000E+00    0.000000E+00    2.767891E+03   
 4.850000E-01    0.000000E+00    0.000000E+00    2.753608E+03   
 4.900000E-01    0.000000E+00    0.000000E+00    2.737043E+03   
 4.950000E-01    0.000000E+00    0.000000E+00    2.718113E+03   
 5.000000E-01    0.000000E+00    0.000000E+00    2.696732E+03   
 5.050000E-01    0.000000E+00    0.000000E+00    2.672804E+03   
 5.100000E-01    0.000000E+00    0.000000E+00    2.646228E+03   
 5.150000E-01    0.000000E+00    0.000000E+00    2.616900E+03   
 5.200000E-01    0.000000E+00    0.000000E+00    2.584709E+03   
 5.250000E-01    0.000000E+00    0.000000E+00    2.549546E+03   
 5.300000E-01    0.000000E+00    0.000000E+00    2.511299E+03   
 5.350000E-01    0.000000E+00    0.000000E+00    2.469858E+03   
 5.400000E-01    0.000000E+00    0.000000E+00    2.425114E+03   
 5.450000E-01    0.000000E+00    0.000000E+00    2.376965E+03   
 5.500000E-01    0.000000E+00    0.000000E+00    2.325314E+03   
 5.550000E-01    0.000000E+00    0.000000E+00    2.270070E+03   
 5.600000E-01    0.000000E+00    0.000000E+00    2.211156E+03   
 5.650000E-01    0.000000E+00   -1.257973E-10    2.148502E+03   
 5.700000E-01   -1.314969E-10    1.213191E-10    2.082057E+03   
 5.750000E-01    0.000000E+00    0.000000E+00    2.011780E+03   
 5.800000E-01    0.000000E+00    0.000000E+00    1.937652E+03   
 5.850000E-01    0.000000E+00    0.000000E+00    1.859669E+03   
 5.900000E-01    0.000000E+00    0.000000E+00    1.777851E+03   
 5.950000E-01    0.000000E+00    0.000000E+00    1.692236E+03   
 6.000000E-01    0.000000E+00    0.000000E+00    1.602888E+03   
 6.050000E-01    0.000000E+00    0.000000E+00    1.509894E+03   
 6.100000E-01    0.000000E+00    0.000000E+00    1.413364E+03   
 6.150000E-01    1.539897E-09   -8.565615E-10    1.313435E+03   
 6.200000E-01   -1.422649E-09   -8.581900E-10    1.210267E+03   
 6.250000E-01   -3.668070E-10    2.766726E-09    1.104046E+03   
 6.300000E-01    7.767678E-10   -2.429435E-09    9.949813E+02   
 6.350000E-01   -7.465398E-10    1.130547E-09    8.833048E+02   
 6.400000E-01    0.000000E+00   -2.394830E-10    7.692710E+02   
 6.450000E-01    3.612092E-10    1.017574E-09    6.531538E+02   
 6.500000E-01   -9.421566E-10   -1.577657E-09    5.352455E+02   
 6.550000E-01    5.910234E-10    1.513232E-09    4.158538E+02   
 6.600000E-01   -3.180046E-10   -4.183574E-10    2.953002E+02   
 6.650000E-01   -1.049278E-09    1.495141E-09    1.739161E+02   
 6.700000E-01    1.528651E-09   -1.392313E-09    5.204097E+01   
 6.750000E-01    0.000000E+00    1.219208E-09   -6.998154E+01   
 6.800000E-01   -1.853882E-10   -2.638944E-09   -1.918063E+02   
 6.850000E-01    1.095637E-10    2.125018E-09   -3.130900E+02   
 6.900000E-01    1.480866E-10   -1.146984E-09   -4.334942E+02   
 6.950000E-01   -2.294579E-09    1.306623E-09   -5.526887E+02   
 7.000000E-01    2.946466E-09    0.000000E+00   -6.703540E+02   
 7.050000E-01   -5.894967E-10   -1.590074E-09   -7.861842E+02   
 7.100000E-01    1.009330E-09    1.738059E-09   -8.998898E+02   
 7.150000E-01   -1.474149E-09   -1.598725E-09   -1.011199E+03   
 7.200000E-01    1.330032E-09    5.263945E-10   -1.119862E+03   
 7.250000E-01   -6.790611E-10   -3.543901E-10   -1.225648E+03   
 7.300000E-01    0.000000E+00    0.000000E+00   -1.328353E+03   
 7.350000E-01    0.000000E+00   -2.198399E-10   -1.427793E+03   
 7.400000E-01   -2.212648E-10    1.086986E-10   -1.523812E+03   
 7.450000E-01    7.102051E-10   -1.276700E-09   -1.616278E+03   
 7.500000E-01   -8.758993E-10    1.407993E-09   -1.705083E+03   
 7.550000E-01   -3.550008E-10    8.225678E-10   -1.790143E+03   
 7.600000E-01    5.752478E-10   -1.222554E-09   -1.871400E+03   
 7.650000E-01   -3.839057E-10    8.280638E-10   -1.948817E+03   
 7.700000E-01    0.000000E+00   -1.978559E-10   -2.022379E+03   
 7.750000E-01    0.000000E+00    0.000000E+00   -2.092090E+03   
 7.800000E-01   -1.196906E-10    0.000000E+00   -2.157975E+03   
 7.850000E-01    0.000000E+00    0.000000E+00   -2.220074E+03   
 7.900000E-01    0.000000E+00    0.000000E+00   -2.278444E+03   
 7.950000E-01    0.000000E+00    0.000000E+00   -2.333154E+03   
 8.000000E-01    0.000000E+00    0.000000E+00   -2.384284E+03   
 8.050000E-01    0.000000E+00    0.000000E+00   -2.431925E+03   
 8.100000E-01    0.000000E+00    0.000000E+00   -2.476175E+03   
 8.150000E-01    0.000000E+00    0.000000E+00   -2.517139E+03   
 8.200000E-01    0.000000E+00    0.000000E+00   -2.554924E+03   
 8.250000E-01    0.000000E+00    0.000000E+00   -2.589642E+03   
 8.300000E-01    0.000000E+00    0.000000E+00   -2.621403E+03   
 8.350000E-01    0.000000E+00    0.000000E+00   -2.650319E+03   
 8.400000E-01    0.000000E+00    0.000000E+00   -2.676498E+03   
 8.450000E-01    0.000000E+00    0.000000E+00   -2.700044E+03   
 8.500000E-01    0.000000E+00    0.000000E+00   -2.721058E+03   
 8.550000E-01    0.000000E+00    0.000000E+00   -2.739633E+03   
 8.600000E-01    0.000000E+00    0.000000E+00   -2.755858E+03   
 8.650000E-01    0.000000E+00    0.000000E+00   -2.769810E+03   
 8.700000E-01    0.000000E+00    0.000000E+00   -2.781561E+03   
 8.750000E-01    0.000000E+00    0.000000E+00   -2.791173E+03   
 8.800000E-01    0.000000E+00    0.000000E+00   -2.798696E+03   
 8.850000E-01    0.000000E+00    0.000000E+00   -2.804172E+03   
