time,beta_dot1_x,beta_dot1_y,beta_dot1_z,beta_dot2_x,beta_dot2_y,beta_dot2_z,beta_dot3_x,beta_dot3_y,beta_dot3_z
0.395,0,-0.00855943,0,0,0.0173615,0,0,-47.0072,0
0.4,0,-0.00891662,0,0,0.0180615,0,0,-47.3894,0
0.405,0,-0.00923594,0,0,0.0186844,0,0,-47.7285,0
0.41,0,-0.00951859,0,0,0.0192325,0,0,-48.026,0
0.415,0,-0.00976577,0,0,0.0197085,0,0,-48.2833,0
0.42,0,-0.00997862,0,0,0.0201147,0,0,-48.5019,0
0.425,0,-0.0101582,0,0,0.0204534,0,0,-48.6827,0
0.43,0,-0.0103053,0,0,0.0207263,0,0,-48.8269,0
0.435,0,-0.0104207,0,0,0.0209353,0,0,-48.9351,0
0.44,0,-0.0105051,0,0,0.0210814,0,0,-49.008,0
0.445,0,-0.0105587,0,0,0.0211656,0,0,-49.0459,0
0.45,0,-0.0105818,0,0,0.0211884,0,0,-49.0491,0
0.455,0,-0.0105743,0,0,0.0211498,0,0,-49.0177,0
0.46,0,-0.0105361,0,0,0.0210495,0,0,-48.9514,0
0.465,0,-0.0104665,0,0,0.0208867,0,0,-48.8498,0
0.47,0,-0.0103652,0,0,0.0206603,0,0,-48.7125,0
0.475,0,-0.0102311,0,0,0.0203687,0,0,-48.5385,0
0.48,0,-0.0100633,0,0,0.02001,0,0,-48.3271,0
0.485,0,-0.00986073,0,0,0.0195822,0,0,-48.0771,0
0.49,0,-0.00962209,0,0,0.0190829,0,0,-47.7872,0
0.495,0,-0.00934605,0,0,0.0185094,0,0,-47.4561,0
0.5,0,-0.00903122,0,0,0.0178592,0,0,-47.0821,0
0.505,0,-0.00867624,0,0,0.0171296,0,0,-46.6636,0
0.51,0,-0.00827974,0,0,0.0163181,0,0,-46.1988,0
0.515,0,-0.00784048,0,0,0.0154222,0,0,-45.6859,0
0.52,0,-0.00735735,0,0,0.01444,0,0,-45.123,0
0.525,0,-0.00682944,0,0,0.0133696,0,0,-44.5081,0
0.53,0,-0.00625612,0,0,0.01221,0,0,-43.8392,0
0.535,0,-0.00563706,0,0,0.0109607,0,0,-43.1145,0
0.54,0,-0.00497234,0,0,0.00962186,0,0,-42.332,0
0.545,0,-0.00426247,0,0,0.00819469,0,0,-41.4899,0
0.55,0,-0.0035085,0,0,0.00668134,0,0,-40.5865,0
0.555,0,-0.002712,0,0,0.00508507,0,0,-39.6203,0
0.56,0,-0.00187518,0,0,0.00341038,0,0,-38.5898,0
0.565,0,-0.0010009,0,0,0.00166302,0,0,-37.4939,0
0.57,0,-9.26985e-05,0,0,-0.000149879,0,0,-36.3316,0
0.575,0,0.000845163,0,0,-0.00201981,0,0,-35.1022,0
0.58,0,0.00180772,0,0,-0.00393685,0,0,-33.8055,0
0.585,0,0.00278928,0,0,-0.0058897,0,0,-32.4413,0
0.59,0,0.0037835,0,0,-0.00786571,0,0,-31.0099,0
0.595,0,0.00478334,0,0,-0.00985098,0,0,-29.5122,0
0.6,0,0.00578121,0,0,-0.0118305,0,0,-27.9491,0
0.605,0,0.00676901,0,0,-0.0137882,0,0,-26.3222,0
0.61,0,0.0077382,0,0,-0.0157072,0,0,-24.6336,0
0.615,0,0.00867995,0,0,-0.0175702,0,0,-22.8854,0
0.62,0,0.00958525,0,0,-0.0193595,0,0,-21.0807,0
0.625,0,0.0104451,0,0,-0.0210573,0,0,-19.2226,0
0.63,0,0.0112505,0,0,-0.0226461,0,0,-17.3149,0
0.635,0,0.0119928,0,0,-0.0241089,0,0,-15.3615,0
0.64,0,0.0126638,0,0,-0.0254296,0,0,-13.3671,0
0.645,0,0.0132559,0,0,-0.0265934,0,0,-11.3364,0
0.65,0,0.0137621,0,0,-0.0275868,0,0,-9.27446,0
0.655,0,0.0141765,0,0,-0.0283981,0,0,-7.1868,0
0.66,0,0.014494,0,0,-0.0290176,0,0,-5.07902,0
0.665,0,0.0147107,0,0,-0.0294378,0,0,-2.95694,0
0.67,0,0.0148239,0,0,-0.0296535,0,0,-0.826509,0
0.675,0,0.0148323,0,0,-0.0296622,0,0,1.30624,0
0.68,0,0.0147356,0,0,-0.0294636,0,0,3.43525,0
0.685,0,0.0145351,0,0,-0.0290602,0,0,5.55452,0
0.69,0,0.014233,0,0,-0.0284568,0,0,7.65811,0
0.695,0,0.0138332,0,0,-0.0276607,0,0,9.74026,0
0.7,0,0.0133403,0,0,-0.0266814,0,0,11.7954,0
